RT,Intervals
0.2366179,1.5797
0.2969597,1.1552
0.2417608,1.9748
0.3097918,1.0257
0.2577182,1.9844
0.2583787,1.8639
0.2514685,1.454
0.2306851,1.9954
0.2442227,1.798
0.2604719,1.1184
0.2264622,1.9459
0.2506766,1.1008
0.2169376,1.9363
0.2592029,1.735
0.2405625,1.9159
0.2319476,1.9634
0.4539748,1.9149
0.2192069,1.2105
0.499911,1.7048
0.2499902,1.9008
0.263242,1.7531
0.2251298,1.4504
0.271831,1.1933
0.2350472,1.3967
0.3785668,1.4852
0.235747,1.816
0.2258266,1.5621
0.1967411,1.4583
0.5066646,1.015
0.2368865,1.1755
0.1436327,1.1368
0.0452289,1.9736
0.2330747,1.8512
0.2305647,1.9917
0.2248458,1.0888
0.2279646,1.0577
0.2068961,1.2826
0.2393968,1.101
0.1209533,1.8967
0.2613806,1.2833
0.1472051,1.5644
0.2381898,1.3424
0.2151611,1.881
0.2348544,1.2743
0.2629055,1.1507
0.2351902,1.4073
0.2767158,1.8478
0.2411825,1.6006
0.2573282,1.2743
0.2569632,1.8967
