,RT,Intervals
0,0.2366179,1.5797
1,0.2969597,1.1552
2,0.2417608,1.9748
3,0.3097918,1.0257
4,0.2577182,1.9844
5,0.2583787,1.8639
6,0.2514685,1.454
7,0.2306851,1.9954
8,0.2442227,1.798
9,0.2604719,1.1184
10,0.2264622,1.9459
11,0.2506766,1.1008
12,0.2169376,1.9363
13,0.2592029,1.735
14,0.2405625,1.9159
15,0.2319476,1.9634
16,0.4539748,1.9149
17,0.2192069,1.2105
18,0.499911,1.7048
19,0.2499902,1.9008
20,0.263242,1.7531
21,0.2251298,1.4504
22,0.271831,1.1933
23,0.2350472,1.3967
24,0.3785668,1.4852
25,0.235747,1.816
26,0.2258266,1.5621
27,0.1967411,1.4583
28,0.5066646,1.015
29,0.2368865,1.1755
30,0.1436327,1.1368
31,0.0452289,1.9736
32,0.2330747,1.8512
33,0.2305647,1.9917
34,0.2248458,1.0888
35,0.2279646,1.0577
36,0.2068961,1.2826
37,0.2393968,1.101
38,0.1209533,1.8967
39,0.2613806,1.2833
40,0.1472051,1.5644
41,0.2381898,1.3424
42,0.2151611,1.881
43,0.2348544,1.2743
44,0.2629055,1.1507
45,0.2351902,1.4073
46,0.2767158,1.8478
47,0.2411825,1.6006
48,0.2573282,1.2743
49,0.2569632,1.8967
